NO_OF_FRAMES	5000
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-09-17, 16:37:20.571	428377.36681510
DATA_INCLUDED	3D
MARKER_NAMES	1	2
TRAJECTORY_TYPES	Measured	Measured
Frame	Time	1 X	1 Y	1 Z	2 X	2 Y	2 Z	
280	0.55800	292.826	-0.224	403.725	0.000	0.000	0.000
281	0.56000	292.793	-0.218	403.725	0.000	0.000	0.000
282	0.56200	292.760	-0.233	403.725	0.000	0.000	0.000
283	0.56400	292.736	-0.240	403.712	0.000	0.000	0.000
284	0.56600	292.711	-0.241	403.700	0.000	0.000	0.000
285	0.56800	292.678	-0.241	403.699	0.000	0.000	0.000
286	0.57000	292.645	-0.242	403.699	0.000	0.000	0.000
287	0.57200	292.621	-0.236	403.686	0.000	0.000	0.000
288	0.57400	292.588	-0.243	403.685	0.000	0.000	0.000
289	0.57600	292.563	-0.237	403.673	0.000	0.000	0.000
290	0.57800	292.530	-0.244	403.672	0.000	0.000	0.000
291	0.58000	292.505	-0.238	403.683	0.000	0.000	0.000
292	0.58200	292.473	-0.238	403.683	0.000	0.000	0.000
293	0.58400	292.448	-0.232	403.670	0.000	0.000	0.000
294	0.58600	292.415	-0.233	403.669	0.000	0.000	0.000
295	0.58800	292.390	-0.233	403.681	0.000	0.000	0.000
296	0.59000	292.357	-0.234	403.681	0.000	0.000	0.000
297	0.59200	292.316	-0.235	403.669	0.000	0.000	0.000
298	0.59400	292.283	-0.249	403.692	0.000	0.000	0.000
299	0.59600	292.234	-0.250	403.692	0.000	0.000	0.000
300	0.59800	292.201	-0.250	403.691	0.000	0.000	0.000
301	0.60000	292.160	-0.265	403.703	0.000	0.000	0.000
302	0.60200	292.119	-0.272	403.715	0.000	0.000	0.000
303	0.60400	292.078	-0.280	403.726	0.000	0.000	0.000
304	0.60600	292.045	-0.281	403.701	0.000	0.000	0.000
305	0.60800	291.995	-0.282	403.724	0.000	0.000	0.000
306	0.61000	291.963	-0.282	403.724	0.000	0.000	0.000
307	0.61200	291.930	-0.283	403.723	0.000	0.000	0.000
308	0.61400	291.896	-0.277	403.723	0.000	0.000	0.000
309	0.61600	291.856	-0.291	403.734	0.000	0.000	0.000
310	0.61800	291.822	-0.264	403.734	0.000	0.000	0.000
311	0.62000	291.797	-0.265	403.720	0.000	0.000	0.000
312	0.62200	291.764	-0.259	403.720	0.000	0.000	0.000
313	0.62400	291.731	-0.259	403.720	0.000	0.000	0.000
314	0.62600	291.698	-0.246	403.720	0.000	0.000	0.000
315	0.62800	291.674	-0.254	403.707	0.000	0.000	0.000
316	0.63000	291.640	-0.241	403.707	0.000	0.000	0.000
317	0.63200	291.599	-0.235	403.694	0.000	0.000	0.000
318	0.63400	291.574	-0.228	403.706	0.000	0.000	0.000
319	0.63600	291.541	-0.222	403.681	0.000	0.000	0.000
320	0.63800	291.508	-0.216	403.681	0.000	0.000	0.000
321	0.64000	291.475	-0.210	403.681	0.000	0.000	0.000
322	0.64200	291.459	-0.210	403.681	0.000	0.000	0.000
323	0.64400	291.426	-0.204	403.680	0.000	0.000	0.000
324	0.64600	291.393	-0.198	403.680	0.000	0.000	0.000
325	0.64800	291.360	-0.192	403.680	0.000	0.000	0.000
326	0.65000	291.327	-0.192	403.680	0.000	0.000	0.000
327	0.65200	291.294	-0.193	403.679	0.000	0.000	0.000
328	0.65400	291.252	-0.187	403.691	0.000	0.000	0.000
329	0.65600	291.211	-0.187	403.703	0.000	0.000	0.000
330	0.65800	291.170	-0.181	403.714	0.000	0.000	0.000
331	0.66000	291.137	-0.189	403.714	0.000	0.000	0.000
332	0.66200	291.096	-0.190	403.701	0.000	0.000	0.000
333	0.66400	291.055	-0.190	403.713	0.000	0.000	0.000
334	0.66600	291.005	-0.191	403.737	0.000	0.000	0.000
335	0.66800	290.955	-0.192	403.735	0.000	0.000	0.000
336	0.67000	290.923	-0.193	403.735	0.000	0.000	0.000
337	0.67200	290.881	-0.187	403.746	0.000	0.000	0.000
338	0.67400	290.848	-0.187	403.746	0.000	0.000	0.000
339	0.67600	290.823	-0.188	403.733	0.000	0.000	0.000
340	0.67800	290.791	-0.188	403.732	0.000	0.000	0.000
341	0.68000	290.757	-0.175	403.732	0.000	0.000	0.000
342	0.68200	290.725	-0.183	403.731	0.000	0.000	0.000
343	0.68400	290.683	-0.177	403.718	0.000	0.000	0.000
344	0.68600	290.658	-0.170	403.730	0.000	0.000	0.000
345	0.68800	290.626	-0.171	403.705	0.000	0.000	0.000
346	0.69000	290.592	-0.165	403.704	0.000	0.000	0.000
347	0.69200	290.560	-0.166	403.680	0.000	0.000	0.000
348	0.69400	290.527	-0.160	403.679	0.000	0.000	0.000
349	0.69600	290.494	-0.160	403.678	0.000	0.000	0.000
350	0.69800	290.461	-0.154	403.678	0.000	0.000	0.000
351	0.70000	290.436	-0.155	403.666	0.000	0.000	0.000
352	0.70200	290.403	-0.148	403.666	0.000	0.000	0.000
353	0.70400	290.378	-0.149	403.678	0.000	0.000	0.000
354	0.70600	290.337	-0.143	403.665	0.000	0.000	0.000
355	0.70800	290.313	-0.143	403.652	0.000	0.000	0.000
356	0.71000	290.279	-0.144	403.677	0.000	0.000	0.000
357	0.71200	290.246	-0.138	403.676	0.000	0.000	0.000
358	0.71400	290.206	-0.145	403.663	0.000	0.000	0.000
359	0.71600	290.164	-0.146	403.675	0.000	0.000	0.000
360	0.71800	290.123	-0.147	403.662	0.000	0.000	0.000
361	0.72000	290.090	-0.148	403.687	0.000	0.000	0.000
362	0.72200	290.049	-0.162	403.699	0.000	0.000	0.000
363	0.72400	290.000	-0.156	403.698	0.000	0.000	0.000
364	0.72600	289.958	-0.157	403.709	0.000	0.000	0.000
365	0.72800	289.917	-0.165	403.696	0.000	0.000	0.000
366	0.73000	289.876	-0.179	403.708	0.000	0.000	0.000
367	0.73200	289.835	-0.187	403.719	0.000	0.000	0.000
368	0.73400	289.794	-0.187	403.707	0.000	0.000	0.000
369	0.73600	289.753	-0.188	403.718	0.000	0.000	0.000
370	0.73800	289.720	-0.189	403.718	0.000	0.000	0.000
371	0.74000	289.696	-0.196	403.705	0.000	0.000	0.000
372	0.74200	289.663	-0.190	403.704	0.000	0.000	0.000
373	0.74400	289.622	-0.191	403.692	0.000	0.000	0.000
374	0.74600	289.597	-0.184	403.704	0.000	0.000	0.000
375	0.74800	289.564	-0.192	403.679	0.000	0.000	0.000
376	0.75000	289.531	-0.193	403.678	0.000	0.000	0.000
377	0.75200	289.498	-0.186	403.678	0.000	0.000	0.000
378	0.75400	289.465	-0.187	403.678	0.000	0.000	0.000
379	0.75600	289.441	-0.188	403.665	0.000	0.000	0.000
380	0.75800	289.408	-0.181	403.665	0.000	0.000	0.000
381	0.76000	289.383	-0.175	403.677	0.000	0.000	0.000
382	0.76200	289.350	-0.176	403.677	0.000	0.000	0.000
383	0.76400	289.317	-0.183	403.677	0.000	0.000	0.000
384	0.76600	289.292	-0.170	403.664	0.000	0.000	0.000
385	0.76800	289.259	-0.164	403.664	0.000	0.000	0.000
386	0.77000	289.217	-0.164	403.701	0.000	0.000	0.000
387	0.77200	289.177	-0.172	403.688	0.000	0.000	0.000
388	0.77400	289.152	-0.173	403.676	0.000	0.000	0.000
389	0.77600	289.111	-0.173	403.688	0.000	0.000	0.000
390	0.77800	289.061	-0.174	403.712	0.000	0.000	0.000
391	0.78000	289.020	-0.182	403.699	0.000	0.000	0.000
392	0.78200	288.987	-0.189	403.724	0.000	0.000	0.000
393	0.78400	288.938	-0.190	403.723	0.000	0.000	0.000
394	0.78600	288.905	-0.198	403.723	0.000	0.000	0.000
